,,,,,,
CourseName,Location,DateFrom,DateTo,Attendees,,
Food Composition and Information,Valencia;Spain,2016-04-04,2016-04-08,2,,
HACCP,Dublin;Ireland,2016-04-04,2016-04-08,3,,
Food Hygiene and Flexibility,Vilnius;Lithuania,2016-04-04,2016-04-08,2,,
Foodborne Outbreaks Investigations,Berlin,2016-04-04,2016-04-08,2,,
Traces (USE AT IMPORT OF LIVE ANIMALS AND PRODUCTS OF ANIMAL ORIGIN),Alicante;Spain,2016-04-05,2016-04-08,1,,
Animal identification registration and traceability,Lyon,2016-04-11,2016-04-15,1,,
Audit B1 - Standard Level,Grange ; Ireland,2016-04-11,2016-04-15,2,,
Food Additives Type 1,Athens;Greece,2016-04-25,2016-04-29,1,,
New Investigative Techniques - A,Rome,2016-04-25,2016-04-28,2,,
Plant Health Controls,Venice/Treviso,2016-04-25,2016-04-29,2,,
Foodborne Outbreaks Investigations,Tallinn,2016-04-25,2016-04-29,3,,
Import Controls on Food and Feed of Non-Animal Origin,Valencia,2016-04-26,2016-04-29,3,,
Animal Health and Disease Prevention for Bees and Zoo Animals,Prague,2016-04-26,2016-04-29,1,,
Foodborne Outbreaks Investigations,Lisbon,2016-04-29,2016-03-04,2,,
Contingency Planning,Cardiff;UK,2016-05-09,2016-05-13,1,,
New Investigative Techniques - Standard B1,Prague,2016-05-09,2016-05-12,2,,
Border Inspection Post,Felixstowe,2016-05-10,2016-05-13,5,,
Auditing Plastic Recycling Processes,Treviso,2016-05-10,2016-05-13,1,,
EU Feed Hygiene Rules and HACCP auditing ,Amsterdam,2016-05-10,2016-05-13,2,,
Traces (USE AT IMPORT OF CERTAIN FEED AND FOOD OF NON-ANIMAL ORIGIN),Tallinn,2016-05-10,2016-05-13,1,,
Control on Contaminants in Feed and Food,Brussels;Belgium,2016-05-10,2016-05-13,1,,
HACCP,Ljubljana,2016-05-16,2016-05-20,1,,
Food Hygiene and Flexibility (Decision Makers),Barcelona,2016-05-16,2016-05-20,1,,
Microbiological Criteria,Barcelona,2016-05-16,2016-05-19,2,,
Plant Health Controls,Brussels/Antwerp,2016-05-17,2016-05-19,2,,
Animal Welfare (During Transport),Poland,2016-05-17,2016-05-20,1,,
Audit A,Budapest,2016-05-23,2016-05-27,2,,
HACCP,Budapest,2016-05-23,2016-05-27,2,,
Foodborne Outbreaks Investigations,Rome,2016-05-23,2016-05-27,4,,
Food Composition and Information,Prague,2016-05-30,2016-06-03,1,,
Prevention Control and Eradication of Transmissible Spongiform Encephalopathies,Ljubljana,2016-05-31,2016-06-03,2,,
Movement of Cats and Dogs,Malaga,2016-05-31,2016-06-03,2,,
Plant Health Controls,Naples;Italy,2016-06-06,2016-06-09,2,,
Control on Contaminants in Feed and Food,Prague;CZ,2016-06-07,2016-06-10,4,,
Animal by Products (Upgraded),Antwerp;Belgium,2016-06-07,2016-06-10,1,,
HACCP,Ljubljana,2016-06-13,2016-06-17,2,,
Feed Law,Riga,2016-06-13,2016-06-17,4,,
Food Composition and Information,Prague,2016-06-13,2016-06-17,3,,
Animal identification registration and traceability,lisbon,2016-06-13,2016-06-17,1,,
Food Additives Type 1,Trim;Ireland,2016-06-13,2016-06-17,2,,
Food Hygiene and Flexibility,Turin,2016-06-13,2016-06-17,1,,
Microbiological Criteria,Riga;Latvia,2016-06-13,2016-06-16,2,,
Border Inspection Post,Felixstowe,2016-06-14,2016-06-17,6,,
Traces (USE AT IMPORT OF LIVE PLANTS),Riga,2016-06-14,2016-06-17,2,,
Animal Welfare (Poultry at Slaughter: Advanced level course),Unknown;Spain,2016-06-14,2016-06-17,2,,
Audit B1 - Standard Level,Trim,2016-06-20,2016-06-24,1,,
Plant Health Controls,Vienna,2016-06-20,2016-06-24,2,,
Foodborne Outbreaks Investigations,Lisbon,2016-06-20,2016-06-24,2,,
CONTROL OF ZOONOSES AND PREVENTION AND MONITORING OF ANTI-MICROBIAL RESISTANCE IN THE FOOD CHAIN (Zoon),Uppsala;Sweden,2016-06-21,2016-06-24,1,,
Import Controls on Food and Feed of Non-Animal Origin,Frankfurt,2016-06-21,2016-06-24,3,,
New Investigative Techniques - Standard B1,Madrid,2016-06-27,2016-06-30,2,,
Plant Protection Products,Lisbon,2016-06-27,2016-06-30,2,,
Animal Health and Disease Prevention for Bees and Zoo Animals,Maribor,2016-06-28,2016-07-01,1,,
Animal by Products (Upgraded),Dusseldorf,2016-07-05,2016-07-08,1,,
CONTROL OF ZOONOSES AND PREVENTION AND MONITORING OF ANTI-MICROBIAL RESISTANCE IN THE FOOD CHAIN (AMR),Trim;Ireland,2016-07-05,2016-07-08,1,,
Food Additives Type 1,Valencia;Spain,2016-07-11,2016-07-15,1,,
Plant Protection Products,Berlin,2016-08-29,2016-09-01,1,,
Food Composition and Information,Trim;Ireland ,2016-09-05,2016-09-09,1,,
Microbiological Criteria,Riga,2016-09-05,2016-09-08,2,,
Movement of Cats and Dogs,Milan,2016-09-06,2016-09-09,1,,
Food Hygiene and Flexibility,Coimbra,2016-09-12,2016-09-16,2,,
Plant Health Controls,Naples,2016-09-12,2016-09-16,3,,
Foodborne Outbreaks Investigations,Tallinn,2016-09-12,2016-09-16,3,,
Animal by Products (Upgraded),Dusseldorf,2016-09-13,2016-09-16,1,,
Animal Health and Disease Prevention for Bees and Zoo Animals,Maribor,2016-09-13,2016-09-16,4,,
Control on Contaminants in Feed and Food,Sofia;BG,2016-09-13,2016-09-16,5,,
Import Controls on Food and Feed of Non-Animal Origin,Rotterdam/Delft,2016-09-13,2016-09-16,13,,
Animal identification registration and traceability,Warsaw,2016-09-19,2016-09-23,1,,
Food Additives Type 1,Trim;Ireland,2016-09-19,2016-09-23,3,,
HACCP,Lyon,2016-09-19,2016-09-23,2,,
Traces (USE AT INTRA-EU TRADE OF LIVE ANIMALS),Madrid,2016-09-20,2016-09-23,2,,
New Investigative Techniques - Advanced B2,Madrid,2016-09-25,2016-09-28,2,,
Audit B1 - Standard Level,Bratislava,2016-09-26,2016-09-30,4,,
Animal Welfare (In Pig Production),Denmark,2016-09-27,2016-09-30,3,,
EU Feed Hygiene Rules and HACCP auditing ,Budapest,2016-09-27,2016-09-30,4,,
Plant Health Controls,Warsaw,2016-10-03,2016-10-07,4,,
Audit B2 - Advanced Level,Bratislava,2016-10-03,2016-10-07,2,,
Food Hygiene and Flexibility,Vilnius,2016-10-03,2016-10-07,3,,
Microbiological Criteria,Barcelona,2016-10-03,2016-10-06,2,,
Border Inspection Post,Felixstowe,2016-10-04,2016-10-07,4,,
Control on Contaminants in Feed and Food,Rome;IT,2016-10-04,2016-10-07,3,,
Contingency Planning,Thessaloniki;GR,2016-10-10,2016-10-14,2,,
Foodborne Outbreaks Investigations,Rome,2016-10-10,2016-10-14,2,,
Animal by Products (Intermediate Level),Antwerp;Belgium,2016-10-11,2016-10-14,2,,
Audit B1 - Standard Level,Valencia,2016-10-17,2016-10-21,1,,
